DateTime,Return1,Return5,SmaNorm,RSI14,DeltaRSI,ATR14,StdDev20,ZClose,VolZ,BodyToRange,IntraBarPos,UpperWick,LowerWick,Close
20250612 081500,0.001414,-0.001641,0.000860,43.791151,9.408222,32.092928,24.710436,-0.757777,-0.156352,0.842466,0.849315,5.500000,0.250000,21769.750000
20250612 083000,-0.000379,-0.001171,0.001067,42.049177,-1.741974,31.497005,22.750948,-1.020837,0.216926,0.315789,0.473684,5.000000,11.250000,21761.500000
20250612 084500,0.003566,0.003164,-0.002429,58.716422,16.667245,38.818647,25.166480,2.107466,3.874415,0.541045,0.934701,8.750000,52.750000,21839.250000
20250612 090000,-0.000172,0.002947,-0.002119,57.852172,-0.864250,37.956601,27.191505,1.701358,1.302225,0.149533,0.542056,8.250000,14.500000,21835.500000
20250612 091500,0.000080,0.004509,-0.002020,58.161661,0.309489,38.281130,28.186264,1.565035,1.472638,0.023529,0.264706,31.250000,10.250000,21837.250000
20250612 093000,-0.000389,0.002707,-0.001453,56.010344,-2.151317,36.903906,27.458821,1.155366,0.540072,0.513158,0.328947,3.000000,6.250000,21828.750000
20250612 094500,0.002345,0.005431,-0.003532,64.529467,8.519123,38.982198,31.914365,2.421715,4.140040,0.784091,0.931818,4.500000,9.750000,21880.000000
20250612 100000,-0.001040,0.000824,-0.002362,59.061556,-5.467911,39.715613,34.032840,1.517284,2.154074,0.461929,0.284264,12.500000,14.000000,21857.250000
20250612 101500,0.002593,0.003589,-0.004706,66.652500,7.590944,42.289498,41.442015,2.488417,2.187027,0.759076,0.970297,2.250000,16.000000,21914.000000
20250612 103000,0.000297,0.003805,-0.004746,67.398157,0.745656,41.286676,47.819250,2.175379,1.301256,0.194690,0.646018,10.000000,12.750000,21920.500000
20250612 104500,0.000992,0.005186,-0.005454,69.829201,2.431044,40.980485,55.133707,2.170632,0.902857,0.574324,0.871622,4.750000,11.000000,21942.250000
20250612 110000,-0.000342,0.002499,-0.004833,67.947667,-1.881534,39.553308,60.202523,1.760724,0.437497,0.357143,0.321429,6.750000,6.750000,21934.750000
20250612 111500,0.000592,0.004132,-0.005082,69.482600,1.534932,39.781643,65.045766,1.714754,1.025829,0.304094,0.309942,29.500000,0.250000,21947.750000
20250612 113000,-0.001391,0.000148,-0.003385,61.982919,-7.499681,42.207954,66.010302,1.124067,1.777872,0.416949,0.491525,6.750000,36.250000,21917.250000
20250612 114500,0.000217,0.000068,-0.003328,62.658897,0.675978,41.835957,67.453191,1.081676,0.297546,0.101351,0.770270,8.500000,24.750000,21922.000000
20250612 120000,0.000023,-0.000900,-0.003084,62.734012,0.075115,41.276246,68.489209,0.987199,0.039482,0.029412,0.860294,4.750000,28.250000,21922.500000
